report_number,categories,primary_category,confidence,ai_specific
MW5106922,U,U,high,False
1000341190-2023-00001,"B,G",B,high,True
MW5145375,"A,B,D",B,high,True
MW5153937,"A,B",B,high,True
1000341190-2025-00002,"B,G",B,high,True
MW5170554,"B,D",B,high,True
1000341190-2025-00003,"B,G",B,high,True
1000341190-2025-00004,"B,C",B,high,True
1000341190-2025-00005,"B,D,G",B,high,True
1000341190-2025-00006,"B,C,D,G",B,high,True
1000341190-2025-00007,"B,G",B,high,True
1000341190-2025-00008,"D,G",D,medium,False
3009715978-2020-00001,"B,D,G",B,high,True
3011651230-2024-00001,"F,G",F,high,False
2029046-2020-00669,"B,D,G",B,high,True
2029046-2020-00678,D,D,medium,True
2029046-2020-00740,"B,C",B,high,True
2029046-2020-00783,"B,C",B,high,True
2029046-2020-00807,"B,C",B,high,True
2029046-2020-00868,"B,G",B,high,True
2029046-2020-00915,"B,G",B,high,True
2029046-2020-00964,"B,C",B,high,True
2029046-2020-00968,"B,G",B,high,True
2029046-2020-01036,"B,C",B,high,True
2029046-2020-01078,"B,E",B,medium,True
2029046-2020-01110,"B,D",B,high,True
2029046-2020-01308,"E,B",E,high,False
2029046-2020-01435,"B,D",B,high,True
2029046-2020-01424,"B,C",B,high,True
2029046-2020-01496,"B,C",B,high,True
2029046-2020-01507,"B,D,G",B,high,True
2029046-2020-01503,"D,G",D,high,True
2029046-2020-01520,"B,C",B,high,True
2029046-2020-01568,"B,C",B,high,True
2029046-2020-01601,"B,D",B,high,True
2029046-2020-01604,"B,D",B,high,True
2029046-2020-01620,"B,C",B,high,True
2029046-2020-01722,"B,C",B,high,True
2029046-2020-01741,"B,D",B,high,True
2029046-2020-01787,"B,C",B,high,True
2029046-2020-01806,"B,G",B,high,True
2029046-2020-01811,"B,C",B,high,True
2029046-2020-01888,"D,B",D,high,True
2029046-2021-00014,"E,F",E,high,False
2029046-2021-00116,"B,G",B,high,True
11272202,"B,E",B,medium,False
2029046-2021-00126,"B,G",B,high,True
2029046-2021-00133,"B,C",B,high,True
2029046-2021-00148,"B,D",B,medium,True
2029046-2021-00244,"B,C",B,high,True
11391895,D,D,high,False
2029046-2021-00258,"E,G",E,high,False
2029046-2021-00276,"E,G",E,high,False
2029046-2021-00369,"B,G",B,high,True
2029046-2021-00381,"F,G",F,high,False
2029046-2021-00462,"B,G",B,high,True
2029046-2021-00463,D,D,high,True
2029046-2021-00465,"B,G",B,high,True
2029046-2021-00468,"B,C",B,high,True
2029046-2021-00471,"B,C,G",B,high,True
MW5100481,"G,D",D,high,False
2029046-2021-00495,"D,G",D,high,False
2029046-2021-00588,"B,C",B,high,True
2029046-2021-00798,"B,D,G",B,high,True
2029046-2021-00887,"B,G",B,high,True
2029046-2021-00889,"A,D",A,high,True
2029046-2021-00912,E,E,medium,False
2029046-2021-00946,"B,D",B,high,True
12040292,"D,E,G",D,high,False
2029046-2021-00987,"B,D,G",B,high,True
2029046-2021-00988,"B,G",B,high,True
2029046-2021-01024,"B,C",B,high,True
2029046-2021-01019,"B,C,G",B,high,True
2029046-2021-01130,"B,F",B,high,True
2029046-2021-01201,"F,G",F,high,False
2029046-2021-01207,"B,C",B,high,True
2029046-2021-01273,"A,E",E,medium,False
2029046-2021-01277,"B,C",B,high,True
2029046-2021-01290,"B,D",B,high,True
2029046-2021-01317,"E,D",E,medium,False
2029046-2021-01356,"D,B",D,high,False
2029046-2021-01535,F,F,medium,False
2029046-2021-01623,"B,G",B,high,True
2029046-2021-01643,"B,G",B,high,True
2029046-2021-01709,"D,B",D,high,True
2029046-2021-01759,"B,D,G",B,high,True
2029046-2021-01855,D,D,medium,False
2029046-2021-01857,F,F,high,False
2029046-2021-01859,"B,D,G",B,high,True
2029046-2021-01890,"B,C",B,high,True
2029046-2021-01896,"F,G",F,high,False
2029046-2021-01972,"B,C",B,high,True
2029046-2021-02007,"B,G",B,high,True
2029046-2021-02017,"B,G",B,medium,True
2029046-2021-02054,"B,F",B,high,False
2029046-2021-02091,"B,C,G",B,high,True
2029046-2021-02154,"B,C",B,high,True
2029046-2021-02193,"B,C",B,high,True
2029046-2021-02203,"B,C",B,high,True
2029046-2021-02230,F,F,high,False
2029046-2021-02273,F,F,high,False
MW5106382,"B,E",B,high,True
2029046-2022-00022,"D,G",D,medium,False
2029046-2022-00070,"B,C",B,high,True
2029046-2022-00123,"B,C",B,high,True
2029046-2022-00138,"B,D,G",B,high,True
2029046-2022-00144,"B,E",B,high,True
2029046-2022-00156,"B,C",B,high,True
2029046-2022-00165,"B,D,G",B,high,True
2029046-2022-00166,"B,C",B,high,True
2029046-2022-00174,"B,C",B,high,True
2029046-2022-00188,"B,C",B,high,True
2029046-2022-00193,"B,C",B,high,True
2029046-2022-00232,"A,E",A,high,False
2029046-2022-00265,"B,C",B,medium,True
2029046-2022-00308,"B,G",B,high,True
2029046-2022-00402,"A,C",A,medium,False
2029046-2022-00433,"B,D",B,medium,True
2029046-2022-00454,"B,D,G",B,high,True
2029046-2022-00511,F,F,high,False
2029046-2022-00549,"B,D",B,high,True
2029046-2022-00587,"B,C",B,high,True
2029046-2022-00610,B,B,high,True
2029046-2022-00659,"B,D",B,high,True
2029046-2022-00672,"B,C",B,high,True
2029046-2022-00692,"B,C,G",B,high,True
2029046-2022-00716,"B,D",B,high,True
2029046-2022-00798,"B,G",B,high,True
2029046-2022-00811,"A,E",E,medium,False
2029046-2022-00846,"B,C,G",B,high,True
2029046-2022-00880,"F,D,G",F,high,False
2029046-2022-00932,D,D,medium,False
2029046-2022-00943,"B,D",B,high,True
2029046-2022-00961,B,B,medium,True
2029046-2022-00982,"B,G",B,high,True
2029046-2022-00991,"D,B",D,high,True
2029046-2022-01002,"B,E",B,high,True
2029046-2022-01017,"B,D",B,high,True
2029046-2022-01029,U,U,high,False
2029046-2022-01088,"A,F",A,high,False
2029046-2022-01109,"B,D",B,high,True
2029046-2022-01115,"B,E",B,medium,True
2029046-2022-01125,"B,D",B,high,True
2029046-2022-01141,"F,G",F,medium,False
2029046-2022-01206,"B,D",B,high,True
2029046-2022-01269,"B,C",B,high,True
2029046-2022-01310,"B,G",B,high,True
2029046-2022-01357,"A,B,C",B,high,True
2029046-2022-01601,"B,G",B,high,True
2029046-2022-01607,"B,G",B,high,True
2029046-2022-01610,"B,G",B,medium,True
2029046-2022-01709,B,B,medium,True
2029046-2022-01707,"B,G",B,high,True
2029046-2022-01714,"B,G",B,high,True
2029046-2022-01772,"B,E",B,medium,True
2029046-2022-01783,U,U,high,False
2029046-2022-01828,F,F,medium,False
2029046-2022-01843,"B,D",B,high,True
2029046-2022-01907,"F,G",F,high,False
2029046-2022-01913,"B,D",B,high,True
2029046-2022-01919,"B,D",B,high,True
2029046-2022-01962,"A,B,G",B,high,True
2029046-2022-01979,"F,G",F,high,False
2029046-2022-02021,"D,G",D,medium,False
2029046-2022-02050,"B,C,G",B,high,True
2029046-2022-02116,"F,G",F,high,False
2029046-2022-02125,F,F,high,False
2029046-2022-02200,"A,B,E",B,high,True
2029046-2022-02228,F,F,high,False
2029046-2022-02293,D,D,medium,False
2029046-2022-02308,"F,G",F,high,False
2029046-2022-02381,"F,B,G",B,high,True
2029046-2022-02533,"B,D",B,high,True
2029046-2022-02574,G,G,high,False
2029046-2022-02587,"B,D,G",B,high,True
2029046-2022-02706,B,B,high,True
2029046-2022-02731,F,F,high,False
2029046-2022-02809,"B,C",B,medium,True
2029046-2022-02818,"B,C",B,medium,True
2029046-2022-02847,D,D,medium,False
2029046-2022-02875,"B,C",B,high,True
2029046-2022-02994,"B,G",B,medium,True
2029046-2022-03187,"B,D,G",B,high,True
2029046-2022-03204,"F,G",F,high,False
2029046-2022-03215,"B,E,G",B,high,True
2029046-2022-03241,"E,G",E,high,False
16077249,F,F,high,False
2029046-2023-00046,"B,G",B,high,True
2029046-2023-00062,D,D,high,False
2029046-2023-00154,"B,G",B,high,True
2029046-2023-00158,"B,C",B,high,True
2029046-2023-00191,"B,C",B,high,True
2029046-2023-00197,"F,E",F,medium,False
2029046-2023-00205,"B,F",B,high,True
2029046-2023-00306,"B,C",B,high,True
2029046-2023-00308,"A,B,E",B,high,True
2029046-2023-00310,B,B,medium,True
2029046-2023-00374,"F,G",F,high,False
2029046-2023-00375,"A,F",A,high,False
2029046-2023-00434,"B,G",B,high,True
2029046-2023-00489,"F,E",F,high,False
2029046-2023-00612,"B,D",B,high,True
2029046-2023-00632,D,D,medium,False
2029046-2023-00637,"B,D",B,high,True
2029046-2023-00660,"B,G",B,high,True
2029046-2023-00716,"A,B,C",B,high,True
2029046-2023-00795,"E,F",E,high,False
2029046-2023-00799,"B,C",B,high,True
2029046-2023-00805,"F,G",F,high,False
2029046-2023-00816,"B,C",B,high,True
2029046-2023-00826,"B,C",B,high,True
2029046-2023-00891,"B,C",B,high,True
2029046-2023-00900,D,D,high,False
2029046-2023-00902,"B,D,G",B,high,True
MW5117246,"E,G",E,high,False
2029046-2023-01037,"F,G",F,high,False
2029046-2023-01141,F,F,high,False
2029046-2023-01187,"F,G",F,high,False
2029046-2023-01214,F,F,high,False
17057292,"F,E",F,high,False
2029046-2023-01223,"B,D,G",B,high,True
MW5118186,"B,G",B,high,True
2029046-2023-01252,"B,C",B,high,True
2029046-2023-01256,"F,G",F,high,False
3007208829-2023-00030,"B,G",B,high,True
2029046-2023-01278,"B,D,G",B,high,True
2029046-2023-01305,"B,D",B,high,True
2029046-2023-01342,"F,G",F,high,False
2029046-2023-01389,"B,G",B,medium,True
2029046-2023-01447,"B,D",B,medium,True
2029046-2023-01495,"B,G",B,high,True
2029046-2023-01559,"B,G",B,high,True
2029046-2023-01596,"E,B",E,high,False
2029046-2023-01645,"F,G",F,high,False
2029046-2023-01698,"B,D",B,high,True
3007208829-2023-00044,"B,G",B,high,True
2029046-2023-01729,"F,B,G",F,high,False
2029046-2023-01738,"B,D",B,high,True
2029046-2023-02055,"B,D,G",B,high,True
