clearance_date,submission_number,device_name,company,panel,product_code,submission_type,company_clean,company_upper,n_reports,n_narratives,match_types
2025-12-30,K253532,TruSPECT Processing Station,"Spectrum Dynamics Medical, Ltd.",Radiology,QIH,K,SPECTRUM DYNAMICS MEDICAL LTD,"SPECTRUM DYNAMICS MEDICAL, LTD.",0.0,0.0,
2025-12-23,K252379,AIR Recon DL,"Ge Medical Systems, LLC",Radiology,LNH,K,GE MEDICAL SYSTEMS LLC,"GE MEDICAL SYSTEMS, LLC",129.0,129.0,manufacturer
2025-12-23,K253091,ART-Plan+ (v3.1.0),Therapanacea Sas,Radiology,MUJ,K,THERAPANACEA SAS,THERAPANACEA SAS,0.0,0.0,
2025-12-22,K252856,PeekMed web,"Peek Health, S.A.",Radiology,QIH,K,PEEK HEALTH SA,"PEEK HEALTH, S.A.",0.0,0.0,
2025-12-22,K253664,SKOUT system,Iterative Health,Gastroenterology-Urology,QNP,K,ITERATIVE HEALTH,ITERATIVE HEALTH,0.0,0.0,
2025-12-22,K250959,BioticsAI,"Bioticsai, Inc.",Radiology,IYN,K,BIOTICSAI INC,"BIOTICSAI, INC.",0.0,0.0,
2025-12-22,K252557,Lumify Diagnostic Ultrasound System,"Philips Ultrasound, LLC",Radiology,IYN,K,PHILIPS ULTRASOUND LLC,"PHILIPS ULTRASOUND, LLC",1238.0,1208.0,manufacturer
2025-12-19,K252670,Alzevita,TOPIA MEDTECH LIMITED,Radiology,QIH,K,TOPIA MEDTECH LIMITED,TOPIA MEDTECH LIMITED,0.0,0.0,
2025-12-19,K252284,eMurmur Heart AI,Csd Labs,Cardiovascular,DQD,K,CSD LABS,CSD LABS,0.0,0.0,
2025-12-19,K252838,MAGNETOM Sola; MAGNETOM Altea; MAGNETOM Sola Fit; MAGNETOM Viato.Mobile; MAGNETOM Vida; MAGNETOM Lumina; MAGNETOM Vida Fit; MAGNETOM Flow.Elite; MAGNETOM Flow.Neo; MAGNETOM Flow.Rise,Siemens Healthcare GmbH,Radiology,LNH,K,SIEMENS HEALTHCARE GMBH,SIEMENS HEALTHCARE GMBH,89.0,90.0,manufacturer
2025-12-19,K252029,AI-CVD,HeartLung Corporation,Radiology,QIH,K,HEARTLUNG CORPORATION,HEARTLUNG CORPORATION,0.0,0.0,
2025-12-18,K250914,MediAI-BA,"Crescom Co., Ltd.",Radiology,QIH,K,CRESCOM CO LTD,"CRESCOM CO., LTD.",0.0,0.0,
2025-12-18,K253516,Assert-IQ (DM5100),Abbott Medical,Cardiovascular,MXD,K,ABBOTT MEDICAL,ABBOTT MEDICAL,0.0,0.0,
2025-12-18,K252235,PVAD IQ Software,"Ultrasight , Ltd.",Radiology,QIH,K,ULTRASIGHT LTD,"ULTRASIGHT , LTD.",0.0,0.0,
2025-12-17,K251416,UltraSight Guidance,"Ultrasight , Ltd.",Radiology,QJU,K,ULTRASIGHT LTD,"ULTRASIGHT , LTD.",0.0,0.0,
2025-12-17,K252922,Neosoma Brain Mets,"Neosoma, Inc.",Radiology,QIH,K,NEOSOMA INC,"NEOSOMA, INC.",0.0,0.0,
2025-12-16,K251763,IRISeg,"Intuitive Surgical, Inc.",Radiology,QIH,K,INTUITIVE SURGICAL INC,"INTUITIVE SURGICAL, INC.",0.0,0.0,
2025-12-16,K252204,prolaio eVO2peak Module (Version 1.0),"Prolaio, Inc.",Cardiovascular,PPW,K,PROLAIO INC,"PROLAIO, INC.",0.0,0.0,
2025-12-12,K253489,Swoop® Portable MR Imaging® System,"Hyperfine, Inc.",Radiology,LNH,K,HYPERFINE INC,"HYPERFINE, INC.",0.0,0.0,
2025-12-11,K252482,CogNet AI-MT+,"Medcognetics, Inc.",Radiology,QFM,K,MEDCOGNETICS INC,"MEDCOGNETICS, INC.",0.0,0.0,
2025-12-11,K253141,DeepRhythmAI,Medicalgorithmics S.A.,Cardiovascular,DQK,K,MEDICALGORITHMICS SA,MEDICALGORITHMICS S.A.,0.0,0.0,
2025-12-10,K252497,SANSA HSAT,Huxley Medical,Anesthesiology,MNR,K,HUXLEY MEDICAL,HUXLEY MEDICAL,0.0,0.0,
2025-12-09,K243449,INFINITT DPS,"Infinitt Healthcare Co., Ltd.",Pathology,QKQ,K,INFINITT HEALTHCARE CO LTD,"INFINITT HEALTHCARE CO., LTD.",0.0,0.0,
2025-12-08,K252294,Fetal EchoScan (v1.2),Brightheart,Radiology,POK,K,BRIGHTHEART,BRIGHTHEART,0.0,0.0,
2025-12-08,K251936,Ceribell Delirium Monitor System,"Ceribell, Inc.",Neurology,NCG,K,CERIBELL INC,"CERIBELL, INC.",0.0,0.0,
2025-12-05,K251657,Personalized Therapy Comfort Settings (PTCS),ResMed Corp,Anesthesiology,BZD,K,RESMED CORP,RESMED CORP,0.0,0.0,
2025-12-05,K250780,ARTAssistant,"Manteia Technologies Co., Ltd.",Radiology,QKB,K,MANTEIA TECHNOLOGIES CO LTD,"MANTEIA TECHNOLOGIES CO., LTD.",0.0,0.0,
2025-12-05,K251514,Overjet CBCT Assist,"Overjet, Inc.",Radiology,QIH,K,OVERJET INC,"OVERJET, INC.",0.0,0.0,
2025-12-05,K252504,Gastric Alimetry,"Alimetry , Ltd.",Gastroenterology-Urology,MYE,K,ALIMETRY LTD,"ALIMETRY , LTD.",0.0,0.0,
2025-12-03,K251203,AVIEW Lung Nodule CAD,"Coreline Soft Co.,Ltd",Radiology,OEB,K,CORELINE SOFT COLTD,"CORELINE SOFT CO.,LTD",0.0,0.0,
2025-12-02,K252103,Acorn 3D Software (AC-SEG-4009); Acorn 3DP Model (AC-101-XX),Mighty Oak Medical,Radiology,QIH,K,MIGHTY OAK MEDICAL,MIGHTY OAK MEDICAL,0.0,0.0,
2025-12-01,K251370,Cartesion Prime (PCD-1000A/3) V10.21,Canon Medical Systems Corporation,Radiology,KPS,K,CANON MEDICAL SYSTEMS CORPORATION,CANON MEDICAL SYSTEMS CORPORATION,2.0,2.0,manufacturer
2025-11-28,K252217,CT VScore+,"Canon Medical Informatics, Inc.",Radiology,JAK,K,CANON MEDICAL INFORMATICS INC,"CANON MEDICAL INFORMATICS, INC.",0.0,0.0,
2025-11-26,K253269,OEC One CFD,"Ge Hualun Medical Systems Co. , Ltd.",Radiology,OXO,K,GE HUALUN MEDICAL SYSTEMS CO LTD,"GE HUALUN MEDICAL SYSTEMS CO. , LTD.",2.0,2.0,manufacturer
2025-11-25,K250694,Scaida BrainCT-ICH (v1.0),Mlhealth 360,Radiology,QAS,K,MLHEALTH 360,MLHEALTH 360,0.0,0.0,
2025-11-25,K253310,7600 Ultrasound System (MyLabC25); 7600 Ultrasound System (MyLabC30),"Esaote, S.P.A.",Radiology,IYN,K,ESAOTE SPA,"ESAOTE, S.P.A.",1.0,1.0,manufacturer
2025-11-24,K252328,Voluson Expert 18; Voluson Expert 20; Voluson Expert 22,Ge Medical Systems Ultrasound and Primary Care Diagnostics,Radiology,IYN,K,GE MEDICAL SYSTEMS ULTRASOUND AND PRIMARY CARE DIAGNOSTICS,GE MEDICAL SYSTEMS ULTRASOUND AND PRIMARY CARE DIAGNOSTICS,5.0,5.0,"manufacturer,manufacturer+brand"
2025-11-24,K252366,a2z-Unified-Triage,"A2z Radiology Ai, Inc.",Radiology,QAS,K,A2Z RADIOLOGY AI INC,"A2Z RADIOLOGY AI, INC.",0.0,0.0,
2025-11-21,K251293,CardioVision,Icardio.Ai,Cardiovascular,QUO,K,ICARDIOAI,ICARDIO.AI,0.0,0.0,
2025-11-21,K251506,Nelli (Version 7.11),Neuro Event Labs OY,Neurology,POS,K,NEURO EVENT LABS OY,NEURO EVENT LABS OY,0.0,0.0,
2025-11-20,K251822,MAGNETOM Free.Max; MAGNETOM Free.Star,"Siemens Shenzhen Magnetic Resonance , Ltd.",Radiology,LNH,K,SIEMENS SHENZHEN MAGNETIC RESONANCE LTD,"SIEMENS SHENZHEN MAGNETIC RESONANCE , LTD.",16.0,16.0,manufacturer
2025-11-17,K252086,DTX Studio Assist,Nobel Biocare C/O Medicim NV,Radiology,MYN,K,NOBEL BIOCARE C/O MEDICIM NV,NOBEL BIOCARE C/O MEDICIM NV,0.0,0.0,
2025-11-17,K252330,DeepRESP,Nox Medical Ehf,Neurology,OLZ,K,NOX MEDICAL EHF,NOX MEDICAL EHF,0.0,0.0,
2025-11-14,K250525,Second Opinion® Panoramic,"Pearl, Inc.",Radiology,MYN,K,PEARL INC,"PEARL, INC.",2.0,2.0,manufacturer
2025-11-14,K251078,AutoDensity,Eos Imaging,Radiology,QIH,K,EOS IMAGING,EOS IMAGING,0.0,0.0,
2025-11-12,K252452,PeekMed web,"Peek Health, S.A.",Radiology,QIH,K,PEEK HEALTH SA,"PEEK HEALTH, S.A.",0.0,0.0,
2025-11-07,K250264,SugarBug (1.x),"Bench7, Inc.",Radiology,MYN,K,BENCH7 INC,"BENCH7, INC.",0.0,0.0,
2025-11-07,K252041,Fibresolve (with PCCP),"Imvaria, Inc.",Radiology,QWO,K,IMVARIA INC,"IMVARIA, INC.",0.0,0.0,
2025-11-06,K253265,BriefCase-Triage,"Aidoc Medical , Ltd.",Radiology,QAS,K,AIDOC MEDICAL LTD,"AIDOC MEDICAL , LTD.",0.0,0.0,
2025-11-03,K250330,3mensio Workstation,Pie Medical Imaging BV,Radiology,QIH,K,PIE MEDICAL IMAGING BV,PIE MEDICAL IMAGING BV,0.0,0.0,
