product_code,maude_reports,status
BXQ,0,cached
BZD,-1,"error: HTTPSConnectionPool(host='api.fda.gov', port=443): Read timed out. (read timeout=30)"
BZG,13,ok
BZQ,14,ok
DPS,335,ok
DPT,337,ok
DQA,3110,ok
DQD,1,ok
DQK,2398,ok
DRG,359,ok
DSB,4,ok
DSH,750,ok
DSI,11615,ok
DXH,47,ok
GEH,1297,ok
GKZ,1300,ok
GWN,10,ok
GXY,231,ok
GYD,3,ok
HAW,18582,ok
HGM,559,ok
IYE,531,ok
IYN,1792,ok
IYO,3411,ok
IZL,278,ok
JAA,-1,error: 500 Server Error: Internal Server Error for url: https://api.fda.gov/device/event.json?search=device.device_report_product_code%3A%22JAA%22+AND+date_received%3A%5B20200101+TO+20260601%5D&limit=500&skip=0
JAK,1447,ok
JFY,263,ok
JIL,-1,error: 500 Server Error: Internal Server Error for url: https://api.fda.gov/device/event.json?search=device.device_report_product_code%3A%22JIL%22+AND+date_received%3A%5B20200101+TO+20260601%5D&limit=0
JIR,11,ok
JOY,8,ok
KGI,16,ok
KPR,239,ok
KPS,130,ok
KWS,11400,ok
LDK,0,cached
LEL,1,ok
LKM,4,ok
LLZ,514,ok
LNH,2191,ok
MAX,4252,ok
MHX,16101,ok
MKJ,93644,ok
MLO,10,ok
MNM,23,ok
MNR,90,ok
MQB,338,ok
MRZ,249,ok
MUD,486,ok
MUJ,170,ok
MVK,79039,ok
MWI,1077,ok
MWJ,38,ok
MWM,0,cached
MXD,11769,ok
MYE,0,cached
MYN,3,ok
NAY,105527,ok
NBW,47869,ok
NCG,0,cached
NDC,1505,ok
NFJ,3,ok
NMN,0,cached
NQQ,27,ok
NVI,0,cached
OBH,0,cached
OEB,0,cached
OEE,0,cached
OIW,0,cached
OLO,14136,ok
OLV,11,ok
OLZ,8,ok
OMB,33,ok
ONV,0,cached
OOG,186,ok
OTE,524,ok
OUO,3,ok
OWB,37786,ok
OXO,2278,ok
OYD,0,cached
OZE,4,ok
PBH,0,cached
PBZ,267,ok
PCS,0,cached
PEX,93,ok
PGW,1253,ok
PHZ,0,cached
PIB,1,ok
PIW,0,cached
PJA,56,ok
PLB,0,cached
PNN,1,ok
POK,1,ok
POS,4,ok
POV,1,ok
PPU,0,cached
PPW,0,cached
PQP,11,ok
PRE,0,cached
PRH,3,ok
PTA,6,ok
PZM,0,cached
PZP,1309,ok
QAQ,31,ok
QAS,0,cached
QBC,6,ok
QBS,0,cached
QCC,0,cached
QCJ,0,cached
QDA,33,ok
QDB,1,ok
QDQ,0,cached
QEA,0,cached
QEK,0,cached
QER,0,cached
QFJ,3,ok
QFM,0,cached
QHA,0,cached
QHE,7,ok
QIH,9,ok
QJB,1,ok
QJU,0,cached
QKB,0,cached
QKQ,0,cached
QME,0,cached
QMS,0,cached
QNK,1,ok
QNL,0,cached
QNP,1,ok
QNV,0,cached
QOK,0,cached
QPF,0,cached
QPN,0,cached
QQI,0,cached
QRG,0,cached
QRY,9,ok
QTZ,0,cached
QUO,0,cached
QVD,0,cached
QVE,0,cached
QVT,0,cached
QWO,0,cached
QWT,0,cached
QWZ,0,cached
QXO,0,cached
QXX,0,cached
QXZ,0,cached
QYE,0,cached
QYV,2,ok
QZB,0,cached
QZF,0,cached
QZS,11,ok
QZW,2,ok
SAK,26,ok
SAO,0,cached
SAR,0,cached
SAT,0,cached
SAX,0,cached
SBC,0,cached
SBF,1,ok
SBQ,0,cached
SDJ,0,cached
SDY,0,cached
SEZ,0,cached
SFE,0,cached
SFH,0,cached
SFR,0,cached
SGH,0,cached
