stratum,submission_number,device_name,company,panel,n_linked_reports,top_maude_mfr,mfr_cross_check_score,match_types,verdict,sample_narrative,product_code,n_unlinked_in_code,best_unlinked_mfr,best_unlinked_score,jsonl_lines
A,K251316,Mazor X System / Mazor X Stealth Edition,Mazor Robotics Ltd.,Neurology,1056.0,MAZOR ROBOTICS LTD,100.0,{'manufacturer': 1056},CONFIRMED,"IF INFORMATION IS PROVIDED IN THE FUTURE, A SUPPLEMENTAL REPORT WILL BE ISSUED. MEDTRONIC RECEIVED INFORMATION REGARDING A GUIDANCE SYSTEM BEING USED DURING A SPINAL PROCEDURE. IT WAS REPORTED THAT A ",,,,,
A,K234047,Automatic Registration,Brainlab AG,Neurology,278.0,BRAINLAB AG,100.0,{'manufacturer': 278},CONFIRMED,"A RISK TO THE PATIENT'S HEALTH COULD NOT BE EXCLUDED FOR THESE SPECIFIC CIRCUMSTANCES, SINCE PEDICLE SCREWS WERE PLACED IN THE PATIENT'S SPINE IN A DIFFERENT POSITION THAN DESIRED WITH THE BRAINLAB DE",,,,,
A,K233753,AI-Rad Companion (Pulmonary),Siemens Healthcare GmbH,Radiology,178.0,SIEMENS HEALTHCARE GMBH,100.0,{'manufacturer': 178},CONFIRMED,(B)(4). SIEMENS HAS INITIATED A TECHNICAL INVESTIGATION OF THE REPORTED EVENT. THE ROOT CAUSE IS UNKNOWN. A SUPPLEMENTAL REPORT WILL BE SUBMITTED UPON COMPLETION OF THE INVESTIGATION. IT WAS REPORTED ,,,,,
A,K251082,HYDROS Robotic System (HY1000); HYDROS Handpiece (HH1000); HYDROS TRUS Probe (HU1000),Procept Biorobotics,General and Plastic Surgery,1269.0,PROCEPT BIOROBOTICS CORPORATION,84.0,{'manufacturer+brand': 1269},PLAUSIBLE,THE AQUABEAM ROBOTIC SYSTEM SCOPE WAS RETURNED FOR INVESTIGATION. VISUAL INSPECTION OF THE RETURNED SCOPE CONFIRMED THAT THE SEMI-FLEXIBLE STAINLESS STEEL HYPOTUBE WAS BROKEN IN TWO (2) PIECES NEAR TH,,,,,
A,K223864,"Alignment System Cranial, Alignment Software Cranial, Cirq Alignment Software Cranial Biopsy, Cirq Alignment Software Cranial sEEG, Varioguide Alignment Software Cranial",Brainlab AG,Neurology,182.0,BRAINLAB AG,100.0,"{'manufacturer': 172, 'manufacturer+brand': 10}",CONFIRMED,"A RISK TO THE PATIENT'S HEALTH COULD NOT BE EXCLUDED FOR THESE SPECIFIC CIRCUMSTANCES, SINCE APPARENTLY A SCREW WAS PLACED IN ANOTHER LOCATION THAN INTENDED IN THE SPINE, WITH THE BRAINLAB DEVICE INVO",,,,,
A,K250660,LUMINOS Q.namix T; LUMINOS Q.namix R,Siemens Medical Solutions,Radiology,10.0,"SIEMENS MEDICAL SOLUTIONS USA, INC",100.0,{'manufacturer': 10},CONFIRMED,PROBLEM WITH LAIRD WATER CHILLER/HEAT EXCHANGER WHICH COOLS THE FLUOROSCOPY MACHINE IN THE HOSPITAL'S INTERVENTIONAL RADIOLOGY (IR) DEPT. THE WATER CHILLER'S CAPACITATOR FAILED CAUSING A FIRE. PATIENT,,,,,
A,K252838,MAGNETOM Sola; MAGNETOM Altea; MAGNETOM Sola Fit; MAGNETOM Viato.Mobile; MAGNETOM Vida; MAGNETOM Lumina; MAGNETOM Vida Fit; MAGNETOM Flow.Elite; MAGNETOM Flow.Neo; MAGNETOM Flow.Rise,Siemens Healthcare GmbH,Radiology,90.0,SIEMENS HEALTHCARE GMBH,100.0,{'manufacturer': 90},CONFIRMED,SIEMENS COMPLETED AN INVESTIGATION OF THE REPORTED INCIDENT. OUR EXPERTS ANALYZED THE IMAGES GENERATED DURING THE PATIENT EXAMINATION. THE COMPLETE EXAMINATION OF THE PATIENT'S RIGHT SHOULDER CONTINUE,,,,,
A,K210760,Precise Image,"Philips Medical Systems Nederland, B.V.",Radiology,56.0,PHILIPS MEDICAL SYSTEMS NEDERLAND B.V.,100.0,{'manufacturer': 56},CONFIRMED,"THE CUSTOMER, (B)(6), REPORTED THAT WHILE POSITIONING THE PATIENT SUPPORT COUCH IN THE VERTICAL DIRECTION DURING CLINICAL USE, THE PATIENT SUPPORT DESCENDED DOWN UNCONTROLLED TO THE LOWEST POSITION. T",,,,,
A,K240398,"RayStation 2023B, RayPlan 2023B, RayStation 2024A, RayPlan 2024A, RayStation 2024A SP3, RayPlan 2024A SP3",RaySearch Laboratories AB (PUBL),Radiology,96.0,RAYSEARCH LABORATORIES AB (PUBL),100.0,{'manufacturer': 96},CONFIRMED,A RAYSTATION 5.0.2 USER REPORTS THAT THE RADIATION TARGET (PTV) AS SPECIFIED IN RAYSTATION WAS MOVED. A PATIENT WAS TREATED THE FIRST FRACTION WITH AN INCORRECT LOCATION OF THE PTV. NO IMPACT ON THE O,,,,,
A,K243446,3DXR,GE Medical Systems SCS,Radiology,82.0,GE MEDICAL SYSTEMS SCS,100.0,{'manufacturer': 82},CONFIRMED,"GE HEALTHCARES INVESTIGATION INTO THE REPORTED OCCURRENCE IS ONGOING. A FOLLOW-UP REPORT WILL BE SUBMITTED IF ADDITIONAL INFORMATION IS IDENTIFIED. WHILE ASSISTING WITH A PROCEDURE, A GEHC APPLICATION",,,,,
