report_year,n_reports,clearance_year,n_clearances,cumulative_devices,year,n,pct_A,pct_B,pct_C,pct_D,pct_E,pct_F,pct_G,pct_U,ai_specific_pct
,,2015.0,6.0,6.0,2015,,,,,,,,,,
,,2016.0,18.0,24.0,2016,,,,,,,,,,
,,2017.0,27.0,51.0,2017,,,,,,,,,,
,,2018.0,65.0,116.0,2018,,,,,,,,,,
,,2019.0,80.0,196.0,2019,,,,,,,,,,
2020.0,1654.0,2020.0,114.0,310.0,2020,1657.0,1.1,24.5,1.0,9.9,12.0,38.7,4.0,8.7,20.8
2021.0,2127.0,2021.0,130.0,440.0,2021,2130.0,1.6,28.7,1.0,7.0,9.7,35.0,4.1,12.8,18.1
2022.0,2518.0,2022.0,162.0,602.0,2022,2525.0,1.7,43.4,0.7,6.3,8.0,24.1,5.9,9.8,23.3
2023.0,3389.0,2023.0,226.0,828.0,2023,3392.0,1.1,48.1,1.1,6.8,4.8,19.9,4.2,13.8,28.7
2024.0,4458.0,2024.0,235.0,1063.0,2024,4463.0,9.1,51.3,0.4,5.1,5.0,16.7,4.2,8.4,31.2
2025.0,5950.0,2025.0,331.0,1394.0,2025,5950.0,3.6,40.7,0.4,5.6,4.8,35.0,3.4,6.6,21.9
2026.0,1806.0,,,,2026,1806.0,3.2,34.2,0.8,3.1,3.2,34.7,3.9,17.1,15.4
