submission_number,device_name,company_clean,panel,product_code,clearance_date,report_count,primary_failure,ai_specific_pct
K233562,LINQ II Insertable Cardiac Monitor,MEDTRONIC INC,Cardiovascular,MXD,2023-12-06,9386,B,28.0
K240465,O-arm O2 Imaging System,MEDTRONIC NAVIGATION INC,Radiology,OWB,2024-06-21,4340,F,4.1
K251082,HYDROS Robotic System (HY1000); HYDROS Handpiece (HH1000); HYDROS TRUS Probe (HU1000),PROCEPT BIOROBOTICS,General and Plastic Surgery,PZP,2025-10-10,1269,G,7.6
K252557,Lumify Diagnostic Ultrasound System,PHILIPS ULTRASOUND LLC,Radiology,IYN,2025-12-22,1238,F,3.5
K251316,Mazor X System / Mazor X Stealth Edition,MAZOR ROBOTICS LTD,Neurology,OLO,2025-09-11,1056,B,68.8
K251397,"Ingenia, Ingenia CX, Ingenia Elition, Ingenia Ambition, BlueSeal, MR 5300 and MR 7700 MR System",PHILIPS MEDICAL SYSTEMS NEDERLAND BV,Radiology,LNH,2025-06-04,628,F,0.8
K231207,"CARTO 3 EP Navigation System Software V8.0 (FG-5400-00, FG-5400-00U)",BIOSENSE WEBSTER INC,Cardiovascular,DQK,2023-09-07,480,B,61.3
K120771,UNICEL DXH 800 COULTER CELLULAR ANALYSIS SYSTEM,BECKMAN COULTER INC,Hematology,GKZ,2013-03-22,479,F,9.4
K150817,Dario Blood Glucose Monitoring System,LABSTYLE INNOVATIONS LTD,Clinical Chemistry,NBW,2015-12-21,438,B,55.9
K234047,Automatic Registration,BRAINLAB AG,Neurology,OLO,2024-03-20,278,B,98.6
K232250,SurgiCount+ System,STRYKER INSTRUMENTS,General Hospital,PBZ,2024-01-11,267,B,39.1
K223864,"Alignment System Cranial, Alignment Software Cranial, Cirq Alignment Software Cranial Biopsy, Cirq Alignment Software Cranial sEEG, Varioguide Alignment Software Cranial",BRAINLAB AG,Neurology,HAW,2023-09-09,181,B,97.8
K233753,AI-Rad Companion (Pulmonary),SIEMENS HEALTHCARE GMBH,Radiology,JAK,2024-03-21,178,F,12.9
K252379,AIR Recon DL,GE MEDICAL SYSTEMS LLC,Radiology,LNH,2025-12-23,129,D,0.0
K240398,"RayStation 2023B, RayPlan 2023B, RayStation 2024A, RayPlan 2024A, RayStation 2024A SP3, RayPlan 2024A SP3",RAYSEARCH LABORATORIES AB (PUBL),Radiology,MUJ,2025-04-04,96,B,69.8
K221680,Xeleris V Processing and Review System,GE HEALTHCARE,Radiology,LLZ,2023-03-01,93,B,46.2
K252838,MAGNETOM Sola; MAGNETOM Altea; MAGNETOM Sola Fit; MAGNETOM Viato.Mobile; MAGNETOM Vida; MAGNETOM Lumina; MAGNETOM Vida Fit; MAGNETOM Flow.Elite; MAGNETOM Flow.Neo; MAGNETOM Flow.Rise,SIEMENS HEALTHCARE GMBH,Radiology,LNH,2025-12-19,89,F,2.2
K250941,Revolution Vibe,GE MEDICAL SYSTEMS LLC,Radiology,JAK,2025-08-01,86,F,11.6
K243446,3DXR,GE MEDICAL SYSTEMS SCS,Radiology,OWB,2025-02-25,82,F,2.4
DEN130013,VITEK MS,BIOMERIEUX INC,Microbiology,PEX,2013-08-21,62,B,96.8
